count,genome
170,"(3,1,{0,2,3},{},[S_14,S_18,S_1⊕1,S_2⊕1,S_5,S_7])"
169,"(3,4,{0,1,3},{},[S_1,S_12,S_14,S_1⊕1,S_21,S_2⊕1,S_4,S_6,S_7,S_8])"
168,"(1,0,{1,3},{},[S_1,S_15,S_18,S_23,S_6,S_8])"
167,"(1,1,{3},{0,3},[(2,3,{0},{0,1}),(3,2,{0},{0,1}),(3,3,{2},{0,1,2}),(3,3,{2},{0,2}),S_2⊕1,S_3⊕1])"
167,"(3,2,{3},{0},[S_1,S_15,S_1⊕1,S_23,S_3⊕1,S_5])"
167,"(3,2,{3},{},[S_1,S_12,S_15,S_1⊕1,S_3⊕1,S_5,S_8])"
166,"(1,2,{1},{0},[S_1,S_23,S_3⊕1])"
166,"(3,1,{0,3},{},[S_14,S_18,S_1⊕1,S_21,S_23,S_2⊕1,S_7,S_8])"
166,"(3,1,{0,3},{},[S_16,S_1⊕1,S_21,S_2⊕1,S_7,S_8])"
166,"(4,0,{1,4},{},[(1,1,{0},{0,2}),(1,4,{0,1},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),S_1,S_12⊕2,S_6])"
165,"(1,0,{1,3},{},[S_1,S_12,S_23,S_6,S_8])"
165,"(1,2,{1,3},{},[S_1,S_12,S_2⊕1,S_8])"
165,"(1,2,{3},{3},[(2,3,{0},{0,1}),(3,3,{0},{0,1,2}),(3,3,{2},{0,1,2}),S_1,S_23,S_2⊕1,S_30,S_3⊕1,S_5⊕1])"
165,"(3,1,{0,3},{},[S_12,S_14,S_1⊕1,S_2⊕1,S_4,S_5])"
163,"(1,4,{3},{2},[(2,3,{0},{0,1}),S_1,S_23,S_2⊕1,S_3⊕1,S_5⊕1])"
162,"(3,4,{0,3},{},[S_1,S_1⊕1,S_5,S_7])"
161,"(1,2,{1,3},{},[S_1,S_12,S_3⊕1,S_5,S_6,S_8])"
160,"(1,4,{1,2},{},[(2,2,{0},{1}),(2,3,{0},{0,1}),S_1,S_12,S_2⊕1,S_3⊕1,S_5⊕1])"
159,"(4,2,{3},{3},[(3,3,{2},{0,2}),S_15,S_2,S_23,S_3⊕1,S_5,S_5⊕1])"
158,"(1,0,{1},{},[S_1,S_3⊕1,S_8])"
158,"(1,4,{3},{},[S_1,S_12,S_2⊕1,S_4,S_9])"
158,"(2,0,{1,2,4},{},[(3,1,{0,2,3},{}),(3,2,{0,3},{}),(3,3,{2},{0,2}),(3,4,{0,1,3},{}),S_1,S_12,S_7⊕1])"
158,"(3,1,{2,3},{},[S_1⊕1,S_22,S_2⊕1,S_4,S_8,S_9])"
157,"(4,2,{1},{0,1,3},[(1,1,{0},{0,2}),(2,3,{0},{0,1}),(3,3,{2},{0,1,2}),S_23])"
156,"(2,2,{3},{0,3},[(3,3,{2},{0,1,2}),(3,3,{2},{0,2}),S_2,S_23,S_2⊕1])"
155,"(3,1,{0},{2},[S_1⊕1,S_2⊕1,S_5])"
152,"(1,0,{1,2},{},[(3,1,{0,3},{}),(3,2,{0,3},{}),(3,4,{0,1,3},{}),(3,4,{0,3},{}),S_1,S_30,S_6])"
152,"(1,2,{1},{},[S_1,S_22,S_2⊕1,S_3⊕1,S_8])"
150,"(1,2,{0,1,3},{},[S_1,S_12,S_14,S_2⊕1])"
150,"(1,2,{0,1,3},{},[S_18,S_21,S_23,S_6])"
150,"(1,2,{1,3},{},[S_12,S_5,S_6])"
150,"(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_6,S_9])"
149,"(1,0,{1},{},[(3,1,{0},{0,2}),(3,2,{0},{0,1}),S_1,S_12,S_23,S_27,S_30,S_3⊕1,S_5⊕1])"
148,"(1,1,{0,3},{},[S_11,S_15,S_2⊕1,S_4,S_5,S_8])"
147,"(1,2,{1,3},{},[S_1,S_12,S_14,S_23,S_2⊕1,S_4,S_6,S_8])"
147,"(1,2,{1,3},{},[S_12,S_18,S_2⊕1,S_6])"
145,"(1,2,{1,3},{},[S_1,S_12,S_19,S_21,S_6,S_8])"
144,"(1,1,{3},{0,3},[(2,3,{0},{0,1}),(3,3,{2},{0,1,2}),S_23,S_2⊕1])"
143,"(1,0,{1,3},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{0},{0,1,2}),S_1,S_12,S_12⊕2,S_14,S_21,S_6])"
143,"(3,1,{0,3},{},[S_12,S_14,S_1⊕1,S_5,S_8])"
143,"(4,0,{1,4},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),S_1,S_12⊕2,S_5⊕1,S_6])"
142,"(3,1,{0,2,3},{},[S_12,S_14,S_1⊕1,S_21,S_2⊕1,S_5,S_7,S_8])"
142,"(3,1,{0,3},{},[S_14,S_16,S_1⊕1,S_21,S_23,S_2⊕1,S_7,S_8])"
141,"(1,0,{1,3},{},[S_1,S_14,S_23,S_6])"
141,"(1,2,{1},{3},[(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,3,{2},{0,2}),S_1,S_19,S_23,S_3⊕1,S_5⊕1])"
140,"(1,0,{1,3},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{0},{0,1,2}),S_1,S_12,S_12⊕2,S_21,S_6])"
140,"S_21"
139,"(1,0,{1},{},[(2,2,{0},{1}),S_1,S_12,S_23,S_27,S_5⊕1,S_6,S_9])"
139,"(2,0,{1},{1},[(1,1,{0},{0,2}),(3,3,{2},{0,1,2}),S_1,S_23,S_30,S_3⊕1,S_5⊕1])"
139,"(3,1,{0,2,3},{},[S_12,S_14,S_1⊕1,S_2⊕1,S_4,S_7])"
137,"(1,4,{1},{},[S_1,S_12,S_19,S_27,S_6,S_9])"
137,"(1,4,{1},{},[S_1,S_15,S_2⊕1,S_9])"
137,"(2,2,{3},{},[S_1,S_11,S_1⊕1,S_2⊕1,S_3⊕1])"
136,"(1,1,{3},{0,3},[(2,3,{0},{0,1}),(3,2,{0},{0,1}),(3,3,{2},{0,2}),S_2⊕1,S_3⊕1])"
136,"(1,2,{0,1,3},{},[S_1,S_12,S_21,S_23,S_6,S_8])"
135,"(1,4,{1},{},[S_1,S_12,S_2⊕1,S_8,S_9])"
135,"(3,1,{0,3},{},[S_12,S_1⊕1,S_21,S_2⊕1,S_8])"
134,"(1,0,{1,3,4},{},[(3,3,{2},{0,2}),(3,4,{0,1,3},{}),(3,4,{0,3},{}),S_1,S_12,S_12⊕2,S_21])"
134,"(3,1,{0,2,3},{},[S_12,S_16,S_1⊕1,S_2⊕1,S_4,S_7])"
134,"(3,2,{3},{},[S_1,S_12,S_1⊕1,S_2⊕1,S_3⊕1,S_5,S_8])"
134,"(3,4,{0,1,3},{},[S_1,S_1⊕1,S_7,S_8])"
133,"(1,0,{1,3},{},[S_1,S_21,S_3⊕1,S_6,S_8])"
