enc	genome
AB|AC|BDE|CDEa	(0,1,{0,3},{},[S_18,S_4,S_5,S_8])
AB|AC|BDE|a,CDE	(0,1,{3},{},[S_17,S_4,S_5,S_8])
AB|ACD|CDE|BEa	(0,1,{3},{},[S_1⊕2,S_4,S_5,S_8])
2,2,2,2,3a	(0,2,{0,1,3},{},[(1,3,{0,1,2},{},[S_1,S_7]),(1,3,{0,1,2},{},[S_7]),S_1⊕1])
2,2,2,2,2a	(0,2,{0,1,3},{},[(1,3,{0,1,2},{},[S_7])])
3A|BCa|2A,BC	(0,2,{3},{3},[(3,3,{2},{0,2},[S_2,S_2⊕1]),S_1⊕2,S_2,S_5,S_5⊕1])
3A|Ba|4,AB	(0,2,{3},{3},[(3,3,{2},{0,2},[S_2,S_2⊕1]),S_2,S_5])
3Aa|4,2A	(0,2,{3},{},[(3,3,{2},{0,2},[S_2,S_2⊕1]),S_1⊕2,S_2,S_2⊕2,S_4,S_4⊕1])
1,3,22a	(0,3,{0,1,2,4},{},[(1,0,{1,3},{},[S_1,S_6,S_8]),(1,4,{0,1,2,3},{},[S_2⊕1,S_4,S_6,S_7,S_8]),(1,4,{0,1,3},{},[S_1,S_14,S_2⊕1,S_7]),(1,4,{0,1,3},{},[S_12,S_14,S_23,S_2⊕1,S_4,S_6,S_7,S_8]),(3,4,{0,1,3},{},[S_1,S_1⊕1,S_5,S_7,S_8]),S_2,S_4⊕1,S_8⊕1])
3,172a8	(0,3,{0,1,2,4},{},[(1,0,{1,3},{},[S_12,S_14,S_23,S_6,S_8]),(1,1,{0,3},{},[S_13,S_2⊕1,S_5,S_8]),(1,2,{0,1,3},{},[S_13,S_14,S_18,S_2⊕1,S_6]),(1,4,{0,1,3},{},[S_12,S_14,S_23,S_2⊕1,S_4,S_6,S_7,S_8]),(1,4,{0,1,3},{},[S_18,S_5,S_6,S_7]),(1,4,{0,1},{},[S_18,S_2⊕1,S_7]),(1,4,{0,3},{},[S_13,S_16,S_18,S_2⊕1,S_4,S_6,S_8]),(3,1,{0,2,3},{},[S_13,S_14,S_16,S_18,S_1⊕1,S_2⊕1,S_5,S_7]),(3,2,{0,3},{},[S_1,S_14,S_1⊕1,S_3⊕1,S_5,S_8]),(3,2,{0,3},{},[S_1,S_18,S_1⊕1,S_5,S_8]),(3,2,{1,3},{},[S_1⊕1,S_3⊕1,S_6,S_8]),(3,4,{0,1,3},{},[S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_7,S_8]),S_2,S_4⊕1])
3,127a8	(0,3,{0,1,2,4},{},[(1,0,{1,3},{},[S_12,S_14,S_23,S_6,S_8]),(1,2,{1,3},{},[S_12,S_15,S_18,S_2⊕1,S_5,S_6]),(1,4,{0,1,3},{},[S_18,S_5,S_6,S_7]),(1,4,{0,1},{},[S_18,S_2⊕1,S_7]),(1,4,{1,3},{},[S_12,S_2⊕1,S_4,S_6,S_7,S_8]),(3,1,{0,3},{},[S_12,S_14,S_15,S_18,S_1⊕1,S_2⊕1,S_5,S_7]),(3,1,{0},{0,2},[S_1⊕1,S_2⊕1,S_5]),(3,2,{0,3},{},[S_1,S_18,S_1⊕1,S_5,S_8]),(3,2,{1,3},{},[S_1⊕1,S_3⊕1,S_6,S_8]),(3,2,{3},{},[S_1,S_12,S_1⊕1,S_2⊕1,S_5,S_8]),(3,2,{3},{},[S_1,S_15,S_1⊕1,S_5,S_8]),(3,2,{3},{},[S_12,S_15,S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_8]),(3,4,{0,1,3},{},[S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_7,S_8]),S_2,S_28,S_4⊕1])
3,122a	(0,3,{0,1,2,4},{},[(1,0,{1,3},{},[S_12,S_14,S_23,S_6,S_8]),(1,4,{0,1,2,3},{},[S_2⊕1,S_4,S_6,S_7,S_8]),(1,4,{0,1,3},{},[S_18,S_5,S_6,S_7]),(3,1,{0,2,3},{},[S_14,S_18,S_1⊕1,S_2⊕1,S_5,S_7]),(3,1,{0},{0,2},[S_1⊕1,S_2⊕1,S_5]),(3,2,{0,3},{},[S_1,S_18,S_1⊕1,S_5,S_8]),(3,2,{1,3},{},[S_1⊕1,S_3⊕1,S_6,S_8]),(3,4,{0,1,3},{},[S_1,S_1⊕1,S_2⊕1,S_7,S_8]),(3,4,{0,1,3},{},[S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_7,S_8]),S_28])
13,23a	(0,3,{0,1,2,4},{},[(1,0,{1},{},[S_1,S_8]),(1,2,{0,1,3},{},[S_1,S_12,S_14,S_2⊕1,S_6]),(1,2,{0,1,3},{},[S_1,S_12,S_14,S_2⊕1]),(1,2,{0,1,3},{},[S_12,S_13,S_14,S_18,S_21,S_23,S_2⊕1,S_6,S_8]),(1,2,{0,1,3},{},[S_13,S_14,S_18,S_2⊕1,S_6]),(1,2,{1,3},{},[S_1,S_12,S_13,S_2⊕1,S_6]),(1,4,{1,3},{},[S_1,S_12,S_13,S_21,S_23,S_2⊕1,S_6,S_9]),(3,1,{0,3},{},[S_12,S_14,S_1⊕1,S_5,S_8]),(3,2,{0,1,3},{},[S_1,S_14,S_1⊕1,S_5,S_8]),S_2])
1,5,3a	(0,3,{0,1,2,4},{},[(1,2,{0,1,3},{},[S_1,S_14,S_2⊕1,S_6]),(1,2,{1,3},{},[S_1,S_12,S_22,S_4]),(1,4,{0,1,2,3},{},[S_1,S_14,S_4,S_7,S_9]),(1,4,{0,1,2},{},[S_1,S_12,S_4,S_7,S_9]),(1,4,{1},{},[S_22,S_2⊕1,S_9]),S_12⊕1,S_4⊕1])
3,12a2	(0,3,{0,1,2,4},{},[(1,4,{0,1,2,3},{},[S_2⊕1,S_4,S_6,S_7,S_8]),(1,4,{0,1},{},[S_18,S_2⊕1,S_7]),(3,1,{0,3},{},[S_18,S_1⊕1,S_2⊕1,S_7]),(3,2,{0,3},{},[S_1,S_18,S_1⊕1,S_5,S_8]),(3,4,{0,1,3},{},[S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_7,S_8]),(3,4,{0,3},{},[S_1,S_1⊕1,S_5,S_7]),S_2,S_4⊕1])
